time,latitude,longitude,depth_km,magnitude,event_id_mapped
2021-05-12T22:06:14.330000,54.9225,-162.1755,0.49,0.988,3300
2021-05-12T22:24:52.550000,54.640166666666666,-161.2075,12.0,1.497,3303
2021-05-12T23:25:02.320000,54.50966666666667,-161.0565,8.8,1.435,3305
2021-05-13T01:58:12.670000,55.44116666666667,-161.85066666666665,6.09,0.215,3308
2021-05-13T02:08:52.030000,55.43416666666667,-161.8035,34.37,0.507,3309
2021-05-13T02:15:33.690000,55.481833333333334,-161.6275,15.17,0.181,3310
2021-05-13T03:22:33.670000,55.139833333333335,-161.26816666666667,15.79,1.567,3313
2021-05-13T04:20:45.120000,55.3445,-161.48466666666667,33.11,0.173,3314
2021-05-13T05:26:45.070000,54.549166666666665,-161.4035,12.8,1.412,3315
2021-05-13T06:19:37.930000,55.314166666666665,-161.524,31.09,0.693,3319
2021-01-11T10:45:20.480000,54.92483333333333,-162.23733333333334,2.92,2.425,332
2021-05-13T06:40:30.780000,55.272333333333336,-161.62866666666667,16.18,0.511,3320
2021-05-13T08:10:31.210000,54.88583333333333,-162.20666666666668,2.31,1.597,3321
2021-05-13T08:54:22.430000,55.1285,-161.755,16.99,1.283,3325
2021-05-13T09:29:58.230000,54.940333333333335,-162.19583333333333,3.85,1.369,3326
2021-05-13T11:39:07.700000,54.544,-162.77833333333334,58.29,1.886,3328
2021-05-13T11:47:14.140000,54.726166666666664,-161.19583333333333,42.68,1.505,3330
2021-05-13T15:01:18.740000,55.128166666666665,-162.36,24.93,1.466,3335
2021-05-13T15:18:35.310000,54.695,-161.79683333333332,13.94,2.371,3336
2021-05-13T15:26:31.400000,55.33383333333333,-161.6565,5.16,0.489,3337
2021-05-14T02:07:49.070000,55.246,-161.50616666666667,20.42,2.28,3342
2021-05-14T10:49:45.710000,55.190666666666665,-160.73533333333333,12.51,1.808,3346
2021-05-14T10:51:09.260000,55.26116666666667,-161.577,21.76,0.947,3347
2021-05-14T12:16:20.190000,55.3745,-161.76816666666667,16.42,0.923,3348
2021-05-14T14:15:57.820000,55.34316666666667,-161.43516666666667,22.2,0.619,3351
2021-05-14T16:42:13.530000,55.34733333333333,-161.74066666666667,17.38,1.058,3352
2021-05-14T19:17:24.030000,55.28916666666667,-161.3865,24.67,0.57,3353
2021-05-14T22:27:18.280000,54.510333333333335,-162.15916666666666,81.34,2.1,3356
2021-05-14T23:36:11.170000,55.389833333333335,-161.46416666666667,5.52,0.672,3357
2021-05-15T00:02:15.010000,55.2365,-161.36083333333335,0.65,0.387,3358
2021-05-15T02:01:56.340000,55.282666666666664,-161.4555,23.62,0.652,3362
2021-05-15T03:42:48.060000,55.347166666666666,-161.93216666666666,12.29,2.293,3364
2021-05-15T03:42:54.980000,55.16283333333333,-161.43983333333333,16.32,1.041,3365
2021-05-15T05:57:21.500000,55.38466666666667,-161.01866666666666,42.29,1.708,3367
2021-05-15T06:21:28.900000,54.64533333333333,-160.65666666666667,21.85,3.549,3368
2021-05-15T06:37:34.780000,54.844166666666666,-161.36383333333333,25.22,1.894,3370
