id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DT1..BH,2021-01-01T19:49:49.340000,P,0.941,3.999272848886903e-06,6,0.0053675719926568,20210101T160000_6,19
AV.DT1..BH,2021-01-01T20:47:49.200000,P,0.983,2.0336738089099526e-05,9,0.0053675719926568,20210101T160000_9,22
AV.DT1..BH,2021-01-01T16:55:46.620000,S,0.433,6.501943516923348e-06,2,0.0050460216047384,20210101T160000_2,15
AV.DT1..BH,2021-01-01T17:17:26.500000,S,0.773,4.335684479883639e-06,4,0.0050460216047384,20210101T160000_4,17
AV.DT1..BH,2021-01-01T19:50:01.340000,S,0.8,6.104771273385268e-06,5,0.0053675719926568,20210101T160000_5,18
AV.DT1..BH,2021-01-01T20:48:00.080000,S,0.85,2.0336738089099526e-05,10,0.0053675719926568,20210101T160000_10,23
AV.DT1..BH,2021-01-01T20:53:11.660000,S,0.548,5.539071480598068e-06,12,0.0050460216047384,20210101T160000_12,25
AV.DTN..BH,2021-01-01T16:55:16.300000,P,0.534,7.559929599665338e-06,1,0.0053675719926568,20210101T160000_1,14
AV.DTN..BH,2021-01-01T17:17:06.280000,P,0.509,5.290960416459711e-06,3,0.0038475005938245,20210101T160000_3,16
AV.DTN..BH,2021-01-01T19:49:51.080000,P,0.656,5.063533080829075e-06,6,0.0038475005938245,20210101T160000_6,19
AV.DTN..BH,2021-01-01T20:09:14.360000,P,0.599,4.154583166382508e-06,7,0.0050460216047384,20210101T160000_7,20
AV.DTN..BH,2021-01-01T20:32:23.080000,P,0.391,4.343130058259703e-06,8,0.007508699723298,20210101T160000_8,21
AV.DTN..BH,2021-01-01T20:47:49.820000,P,0.977,7.1318481786875054e-06,9,0.0038475005938245,20210101T160000_9,22
AV.DTN..BH,2021-01-01T21:02:37.740000,P,0.528,4.077755420439644e-06,13,0.007508699723298,20210101T160000_13,26
AV.DTN..BH,2021-01-01T16:55:46.260000,S,0.639,1.425880782335298e-05,2,0.0053675719926568,20210101T160000_2,15
AV.DTN..BH,2021-01-01T19:50:02.460000,S,0.701,5.938663889537565e-06,5,0.0038475005938245,20210101T160000_5,18
AV.DTN..BH,2021-01-01T20:48:01.260000,S,0.847,1.001596319838427e-05,10,0.0038475005938245,20210101T160000_10,23
AV.DTN..BH,2021-01-01T20:53:12.960000,S,0.338,7.102165909600444e-06,12,0.0053675719926568,20210101T160000_12,25
AV.HAG..SH,2021-01-01T16:55:13.620000,P,0.945,2.665577312654932e-06,1,0.0038475005938245,20210101T160000_1,14
AV.HAG..SH,2021-01-01T17:17:05.800000,P,0.975,3.316726861157804e-06,3,0.0048383976053614,20210101T160000_3,16
AV.HAG..SH,2021-01-01T19:49:51.680000,P,0.596,5.553181381401373e-07,5,0.0048383976053614,20210101T160000_5,18
AV.HAG..SH,2021-01-01T20:09:14.040000,P,0.587,4.389371497381944e-07,7,0.0053675719926568,20210101T160000_7,20
AV.HAG..SH,2021-01-01T20:32:21.960000,P,0.978,5.713083055525203e-07,8,0.0050460216047384,20210101T160000_8,21
AV.HAG..SH,2021-01-01T20:47:52.040000,P,0.977,5.674802650901256e-06,9,0.0048383976053614,20210101T160000_9,22
AV.HAG..SH,2021-01-01T20:52:49.960000,P,0.952,2.00916701942333e-06,11,0.007508699723298,20210101T160000_11,24
AV.HAG..SH,2021-01-01T21:02:36.220000,P,0.428,2.015219138229441e-07,13,0.0050460216047384,20210101T160000_13,26
AV.HAG..SH,2021-01-01T16:55:42.880000,S,0.495,3.3226187952095643e-06,2,0.0038475005938245,20210101T160000_2,15
AV.HAG..SH,2021-01-01T17:17:27.760000,S,0.766,2.315719029866159e-06,4,0.0053675719926568,20210101T160000_4,17
AV.HAG..SH,2021-01-01T19:50:05.400000,S,0.583,2.644767846504692e-06,6,0.0048383976053614,20210101T160000_6,19
AV.HAG..SH,2021-01-01T20:09:25.520000,S,0.597,4.389371497381944e-07,7,0.0038475005938245,20210101T160000_7,20
AV.HAG..SH,2021-01-01T20:48:05.280000,S,0.808,9.40856261877343e-06,9,6.179578800810964e-05,20210101T160000_9,22
AV.HAG..SH,2021-01-01T20:53:11.760000,S,0.634,3.2618731893307995e-06,12,0.0038475005938245,20210101T160000_12,25
AV.PN7A..BH,2021-01-01T16:55:15.560000,P,0.683,1.4587441910407506e-05,1,0.0048383976053614,20210101T160000_1,14
AV.PS1A..BH,2021-01-01T16:55:12.600000,P,0.722,1.3994389519211836e-05,1,6.179578800810964e-05,20210101T160000_1,14
AV.PS1A..BH,2021-01-01T20:47:54.320000,P,0.662,9.789733667275868e-06,9,0.0232514700124572,20210101T160000_9,22
AV.PS1A..BH,2021-01-01T20:52:49.640000,P,0.491,1.240800520463381e-05,11,0.0050460216047384,20210101T160000_11,24
AV.PS1A..BH,2021-01-01T16:55:41.900000,S,0.421,2.401698293397203e-05,2,0.0048383976053614,20210101T160000_2,15
AV.PS4A..BH,2021-01-01T16:55:13.240000,P,0.849,1.0499301424715668e-05,1,0.0232514700124572,20210101T160000_1,14
AV.PS4A..BH,2021-01-01T17:17:05.720000,P,0.402,8.113458534353413e-06,3,6.179578800810964e-05,20210101T160000_3,16
AV.PS4A..BH,2021-01-01T19:49:51.720000,P,0.747,7.021252713457216e-06,5,6.179578800810964e-05,20210101T160000_5,18
AV.PS4A..BH,2021-01-01T20:47:52.360000,P,0.933,6.8974327405157965e-06,10,0.0048383976053614,20210101T160000_10,23
AV.PS4A..BH,2021-01-01T20:52:49.960000,P,0.809,8.463072845188435e-06,11,0.0053675719926568,20210101T160000_11,24
AV.PS4A..BH,2021-01-01T16:55:42.880000,S,0.627,1.5013645679573528e-05,2,6.179578800810964e-05,20210101T160000_2,15
AV.PS4A..BH,2021-01-01T17:17:26.880000,S,0.37,5.673358373314841e-06,4,0.0038475005938245,20210101T160000_4,17
AV.PS4A..BH,2021-01-01T19:50:05.180000,S,0.77,7.093182830431033e-06,6,6.179578800810964e-05,20210101T160000_6,19
AV.PS4A..BH,2021-01-01T20:48:05.700000,S,0.341,1.190825605590362e-05,9,0.0177574370056802,20210101T160000_9,22
AV.PS4A..BH,2021-01-01T20:53:10.660000,S,0.64,7.937042937555816e-06,12,0.0048383976053614,20210101T160000_12,25
AV.PV6A..SH,2021-01-01T16:55:14.920000,P,0.93,1.3730339105677558e-06,1,0.0177574370056802,20210101T160000_1,14
AV.PV6A..SH,2021-01-01T17:17:08.640000,P,0.683,8.798359090178565e-07,3,0.0232514700124572,20210101T160000_3,16
AV.PV6A..SH,2021-01-01T19:49:56.000000,P,0.49,4.151886514591752e-07,6,0.0232514700124572,20210101T160000_6,19
AV.PV6A..SH,2021-01-01T20:32:24.300000,P,0.35,5.48587308912829e-07,8,0.0053675719926568,20210101T160000_8,21
AV.PV6A..SH,2021-01-01T20:47:55.500000,P,0.952,8.613455975137185e-07,10,6.179578800810964e-05,20210101T160000_10,23
AV.PV6A..SH,2021-01-01T20:52:52.860000,P,0.943,9.124614166466928e-07,11,0.0038475005938245,20210101T160000_11,24
AV.PV6A..SH,2021-01-01T21:02:39.080000,P,0.731,5.744667532781023e-07,13,0.0053675719926568,20210101T160000_13,26
AV.PV6A..SH,2021-01-01T17:17:31.740000,S,0.56,1.6207430917347665e-06,4,0.0048383976053614,20210101T160000_4,17
