time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id,event_id_mapped
2021-07-29T17:00:58.188,1.824,-161.631,55.438,21947.159,0.414,0.4,0.005,5.239,10,20210729T160000_10,110
2021-07-29T17:03:55.713,1.595,-161.151,55.275,61000.0,0.615,0.236,-0.076,8.0,11,20210729T160000_11,111
2021-07-29T17:04:14.276,1.753,-161.364,55.439,61000.0,0.632,0.261,-0.192,5.653,12,20210729T160000_12,112
2021-07-29T17:08:14.733,0.31,-161.888,55.372,0.0,0.196,0.751,-0.009,4.0,13,20210729T160000_13,113
2021-07-29T17:22:55.276,1.752,-161.003,55.148,39527.73,0.687,0.302,-0.053,12.0,14,20210729T160000_14,114
2021-07-29T17:23:13.603,2.058,-161.687,55.34,61000.0,0.793,0.284,-0.121,5.883,15,20210729T160000_15,115
2021-07-29T17:28:28.156,2.085,-162.402,55.562,61000.0,0.595,0.262,0.023,7.318,16,20210729T160000_16,116
2021-07-29T17:28:59.383,2.709,-161.252,55.575,61000.0,0.276,0.184,0.01,5.0,17,20210729T160000_17,117
2021-07-29T17:33:08.364,1.354,-161.459,55.202,42174.92,0.624,0.279,-0.038,11.999,18,20210729T160000_18,118
2021-07-29T17:33:35.486,1.568,-161.007,54.929,0.0,0.281,0.165,-0.002,5.0,19,20210729T160000_19,119
2021-07-29T17:34:07.323,2.003,-160.998,55.362,61000.0,0.561,0.237,-0.023,10.0,20,20210729T160000_20,120
2021-07-29T17:34:30.284,2.136,-161.001,55.211,581.921,0.67,0.26,0.082,8.865,21,20210729T160000_21,121
2021-07-29T17:52:10.283,1.822,-161.108,55.31,61000.0,0.399,0.246,-0.011,14.0,22,20210729T160000_22,122
2021-07-29T17:52:47.583,1.881,-161.008,54.902,7585.591,0.67,0.184,-0.169,4.763,23,20210729T160000_23,123
2021-07-29T18:14:29.524,2.048,-161.002,55.188,61000.0,0.743,0.406,0.118,12.0,24,20210729T160000_24,124
2021-07-29T18:14:55.687,2.207,-161.262,55.229,26270.161,0.448,0.135,-0.012,5.613,25,20210729T160000_25,125
2021-07-29T18:15:05.713,1.717,-161.936,55.4,30170.308,0.452,0.179,0.002,5.387,26,20210729T160000_26,126
2021-07-29T18:17:43.123,1.029,-161.414,55.159,37023.187,0.292,0.306,0.013,5.0,27,20210729T160000_27,127
2021-07-29T18:18:13.245,1.397,-161.314,55.159,0.0,0.305,0.109,0.0,4.0,28,20210729T160000_28,128
2021-07-29T18:38:12.977,1.816,-161.185,55.296,48195.563,0.45,0.211,0.017,10.0,29,20210729T160000_29,129
2021-07-29T18:38:47.983,1.03,-161.91,55.236,4535.491,0.464,0.269,-0.016,6.635,30,20210729T160000_30,130
2021-07-29T18:46:49.667,1.48,-161.116,55.365,51327.837,0.335,0.375,-0.044,6.723,31,20210729T160000_31,131
2021-07-29T18:53:34.208,1.369,-162.65,54.903,61000.0,0.815,0.207,-0.058,4.0,32,20210729T160000_32,132
2021-07-29T18:54:03.573,1.346,-162.077,54.905,0.0,0.846,0.364,-0.0,5.338,33,20210729T160000_33,133
2021-07-29T19:12:01.510,2.619,-160.999,55.321,61000.0,0.515,0.397,0.041,16.807,34,20210729T160000_34,134
2021-07-29T19:12:45.951,2.906,-161.61,55.474,34421.409,0.0,0.252,0.0,4.0,35,20210729T160000_35,135
2021-07-29T19:30:31.214,1.757,-162.323,55.687,61000.0,0.788,0.292,0.0,8.0,36,20210729T160000_36,136
2021-07-29T19:53:30.695,1.745,-161.2,55.367,50779.314,0.495,0.27,0.036,15.528,37,20210729T160000_37,137
2021-07-29T20:16:10.628,0.479,-162.328,55.217,0.0,0.028,0.248,-0.003,4.0,38,20210729T160000_38,138
2021-07-29T20:21:48.225,1.436,-161.531,55.366,40883.784,0.657,0.311,0.015,11.998,39,20210729T160000_39,139
2021-07-29T20:23:29.939,1.94,-161.002,55.181,58732.206,0.683,0.205,0.096,10.998,40,20210729T160000_40,140
2021-07-29T20:24:09.438,1.753,-162.022,55.45,104.163,0.56,0.429,0.047,7.995,41,20210729T160000_41,141
2021-07-29T20:25:40.918,1.541,-161.511,55.256,59204.1,0.575,0.255,0.07,11.997,42,20210729T160000_42,142
2021-07-29T20:31:08.136,2.588,-161.427,55.322,41604.032,0.697,0.319,0.011,13.992,43,20210729T160000_43,143
2021-07-29T20:31:42.674,3.199,-161.049,55.124,17719.43,0.032,0.236,-0.005,3.964,44,20210729T160000_44,144
2021-07-29T20:33:15.407,3.51,-161.14,55.165,49435.045,0.6,0.254,-0.012,17.993,45,20210729T160000_45,145
2021-07-29T20:34:08.035,3.073,-161.74,55.197,0.0,0.255,0.567,0.043,4.997,46,20210729T160000_46,146
2021-07-29T20:42:31.486,1.159,-161.63,55.378,34272.446,0.254,0.629,0.023,5.643,47,20210729T160000_47,147
2021-07-29T20:43:00.393,1.812,-161.694,55.0,0.0,0.15,0.288,0.01,4.955,48,20210729T160000_48,148
