id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DT1..BH,2021-07-29T09:53:05.770000,P,0.871,5.610480002360418e-06,21,0.0004050876116612,20210729T080000_21,21
AV.DT1..BH,2021-07-29T09:54:27.920000,P,0.789,1.1494540558487644e-05,22,0.0001504533844952,20210729T080000_22,22
AV.DT1..BH,2021-07-29T09:59:23.080000,P,0.545,5.144852366356645e-06,23,0.0004050876116612,20210729T080000_23,23
AV.DT1..BH,2021-07-29T10:02:22.480000,P,0.375,3.4387408049951773e-06,24,1.620606399258123e-05,20210729T080000_24,24
AV.DT1..BH,2021-07-29T10:05:52.710000,P,0.94,1.6977655832306482e-06,25,1.620606399258123e-05,20210729T080000_25,25
AV.DT1..BH,2021-07-29T10:08:41.220000,P,0.353,2.6044358492072206e-06,27,0.0004050876116612,20210729T080000_27,27
AV.DT1..BH,2021-07-29T10:14:06.350000,P,0.61,2.3462309854949126e-06,28,1.620606399258123e-05,20210729T080000_28,28
AV.DT1..BH,2021-07-29T10:18:03.920000,P,0.352,2.5730910238053184e-06,31,1.620606399258123e-05,20210729T080000_31,31
AV.DT1..BH,2021-07-29T10:20:49.430000,P,0.714,1.6849978692334844e-06,32,0.0004050876116612,20210729T080000_32,32
AV.DT1..BH,2021-07-29T10:23:03.870000,P,0.774,1.9040171537199056e-06,34,1.620606399258123e-05,20210729T080000_34,34
AV.DT1..BH,2021-07-29T10:24:57.260000,P,0.853,3.15372722070606e-06,35,0.0001504533844952,20210729T080000_35,35
AV.DT1..BH,2021-07-29T10:27:40.980000,P,0.879,3.3884869026223896e-06,36,0.0001504533844952,20210729T080000_36,36
AV.DT1..BH,2021-07-29T10:38:44.500000,P,0.863,1.647822273298516e-06,37,0.0004050876116612,20210729T080000_37,37
AV.DT1..BH,2021-07-29T10:43:01.030000,P,0.875,1.356778170702455e-06,38,0.0005979079998146,20210729T080000_38,38
AV.DT1..BH,2021-07-29T10:50:56.060000,P,0.96,3.521067810652312e-06,39,0.0001504533844952,20210729T080000_39,39
AV.DT1..BH,2021-07-29T10:54:46.310000,P,0.867,1.2806528957298724e-06,41,0.0001504533844952,20210729T080000_41,41
AV.DT1..BH,2021-07-29T10:59:13.270000,P,0.424,1.7032220966939349e-06,42,1.620606399258123e-05,20210729T080000_42,42
AV.DT1..BH,2021-07-29T11:05:40.030000,P,0.938,2.7838966616400285e-06,44,0.0004050876116612,20210729T080000_44,43
AV.DT1..BH,2021-07-29T11:09:30.040000,P,0.643,7.043311597954016e-06,45,0.0004050876116612,20210729T080000_45,45
AV.DT1..BH,2021-07-29T11:17:14.390000,P,0.686,1.4328566066978965e-06,46,1.620606399258123e-05,20210729T080000_46,46
AV.DT1..BH,2021-07-29T11:24:13.730000,P,0.973,1.0933847079286352e-05,47,1.620606399258123e-05,20210729T080000_47,47
AV.DT1..BH,2021-07-29T11:30:03.780000,P,0.959,4.301665285311174e-06,48,0.0004050876116612,20210729T080000_48,48
AV.DT1..BH,2021-07-29T11:42:14.790000,P,0.83,1.6404467260144884e-06,49,0.0004050876116612,20210729T080000_49,49
AV.DT1..BH,2021-07-29T11:48:37.180000,P,0.907,2.280139824506477e-06,51,0.0001504533844952,20210729T080000_51,51
AV.DT1..BH,2021-07-29T12:17:33.390000,P,0.603,1.0737128377513727e-06,52,0.0004050876116612,20210729T080000_52,52
AV.DT1..BH,2021-07-29T12:18:40.150000,P,0.71,2.507435965526384e-06,53,0.0001504533844952,20210729T080000_53,53
AV.DT1..BH,2021-07-29T12:29:04.510000,P,0.824,2.315475285286084e-06,55,0.0004050876116612,20210729T080000_55,55
AV.DT1..BH,2021-07-29T12:32:55.680000,P,0.704,1.1927487548746285e-06,56,0.0004050876116612,20210729T080000_56,56
AV.DT1..BH,2021-07-29T12:43:28.270000,P,0.829,1.20081240311265e-05,57,0.0004050876116612,20210729T080000_57,57
AV.DT1..BH,2021-07-29T12:52:28.720000,P,0.364,2.5128877041424857e-06,58,0.0004050876116612,20210729T080000_58,58
AV.DT1..BH,2021-07-29T12:52:57.280000,P,0.339,9.159170076600276e-06,59,0.0005979079998146,20210729T080000_59,59
AV.DT1..BH,2021-07-29T13:03:49.860000,P,0.573,9.610945426175022e-07,60,1.620606399258123e-05,20210729T080000_60,60
AV.DT1..BH,2021-07-29T13:13:11.190000,P,0.894,8.505577397954767e-07,61,1.620606399258123e-05,20210729T080000_61,61
AV.DT1..BH,2021-07-29T13:15:31.470000,P,0.626,3.429233402130194e-06,62,0.0004050876116612,20210729T080000_62,62
AV.DT1..BH,2021-07-29T13:18:43.180000,P,0.747,6.528817721118685e-06,63,0.0004050876116612,20210729T080000_63,63
AV.DT1..BH,2021-07-29T13:31:10.110000,P,0.811,1.7000716070469934e-06,64,0.0004050876116612,20210729T080000_64,64
AV.DT1..BH,2021-07-29T13:48:56.550000,P,0.908,2.010524895013077e-06,65,0.0001504533844952,20210729T080000_65,65
