time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-01-03T11:44:49.386,1.284,-161.39,54.904,29014.505,0.056,0.438,-0.006,4.0,12,20210103T080000_12
2021-01-03T12:41:20.602,2.308,-162.781,55.279,53473.903,0.484,0.22,0.046,8.747,14,20210103T080000_14
2021-01-03T12:41:25.018,1.771,-162.357,54.973,19129.887,0.351,0.664,0.068,8.253,13,20210103T080000_13
2021-01-03T12:59:07.237,2.274,-161.216,54.903,49617.98,0.288,0.224,-0.014,7.573,15,20210103T080000_15
2021-01-03T13:46:38.792,1.946,-162.773,54.902,61000.0,1.252,0.13,-0.05,6.0,16,20210103T080000_16
2021-01-03T17:22:37.592,-0.171,-161.906,55.331,23826.83,0.415,0.463,-0.03,7.0,1,20210103T160000_1
2021-01-03T17:26:46.317,1.443,-162.022,55.493,61000.0,0.566,0.49,-0.024,7.0,2,20210103T160000_2
2021-01-03T17:45:13.960,1.749,-161.424,54.904,44945.851,0.295,0.365,-0.024,9.92,3,20210103T160000_3
2021-01-03T17:45:20.378,2.141,-162.79,55.67,61000.0,0.622,0.329,-0.086,5.19,4,20210103T160000_4
2021-01-03T18:02:17.997,1.207,-161.43,54.904,31166.827,0.136,0.44,0.002,6.0,5,20210103T160000_5
2021-01-03T18:02:34.697,1.153,-161.594,54.905,14010.375,0.231,0.327,-0.012,4.0,6,20210103T160000_6
2021-01-03T19:56:21.228,2.052,-161.2,54.903,46810.279,0.339,0.231,0.004,11.0,7,20210103T160000_7
2021-01-03T19:56:29.914,2.207,-161.229,54.903,54146.605,0.541,0.226,0.01,10.0,8,20210103T160000_8
2021-01-03T20:36:47.911,1.607,-161.397,54.904,38229.734,0.209,0.348,0.019,7.0,9,20210103T160000_9
2021-01-03T20:37:05.891,1.357,-161.475,54.934,7938.521,0.495,0.285,-0.049,6.0,10,20210103T160000_10
2021-01-03T21:50:56.060,2.032,-161.769,54.905,61000.0,0.215,0.6,-0.005,6.246,12,20210103T160000_12
2021-01-03T21:50:56.098,1.843,-162.413,54.904,61000.0,0.524,0.373,0.067,7.754,11,20210103T160000_11
2021-01-03T23:33:14.434,1.346,-161.007,54.941,46176.029,0.192,0.468,0.003,5.0,13,20210103T160000_13
2021-01-03T23:33:23.615,1.747,-161.073,54.902,44680.612,0.267,0.408,0.044,7.0,14,20210103T160000_14
2021-01-04T00:02:16.925,2.153,-161.189,55.424,61000.0,0.228,0.259,0.034,9.868,1,20210104T000000_1
2021-01-04T00:02:59.752,1.558,-161.531,55.554,18999.059,0.465,0.314,0.002,7.487,2,20210104T000000_2
2021-01-04T00:03:09.702,1.093,-161.921,55.127,1117.096,0.061,0.462,0.005,4.0,3,20210104T000000_3
2021-01-04T00:33:14.475,2.092,-161.008,54.902,61000.0,0.734,0.3,-0.056,19.0,4,20210104T000000_4
2021-01-04T00:51:27.946,1.153,-161.328,54.904,30086.458,0.147,0.476,0.002,4.977,5,20210104T000000_5
2021-01-04T00:52:00.041,-0.694,-161.849,55.348,0.0,0.859,0.489,0.108,4.0,6,20210104T000000_6
2021-01-04T01:41:00.358,1.875,-160.991,55.661,61000.0,0.473,0.443,0.011,9.783,7,20210104T000000_7
2021-01-04T01:41:09.836,1.416,-160.991,55.645,1205.605,0.192,0.508,0.027,5.217,8,20210104T000000_8
2021-01-04T01:52:23.654,1.281,-161.359,54.904,31424.962,0.07,0.461,-0.0,4.0,9,20210104T000000_9
2021-01-04T01:52:37.593,1.044,-161.696,54.905,36077.9,0.385,0.286,-0.007,4.0,10,20210104T000000_10
2021-01-04T03:22:10.187,1.768,-161.49,54.927,61000.0,0.309,0.429,0.047,6.702,12,20210104T000000_12
